日付,A:総入園者数,B:有料入園者数,C:無料入園者数,D:Cのうち幼児,E:Cのうち小学生,F:Cのうち中学生,G:Cのうち障がい者,H:Cのうち市内６５歳以上,I:CのうちD〜H以外
2019-01-01,3424,2534,890,337,242,52,56,138,65
2019-01-02,3077,2024,1053,476,297,57,42,143,38
2019-01-03,3148,2135,1013,512,217,60,61,111,52
2019-01-04,2388,1498,890,472,247,29,27,89,26
2019-01-05,1733,1127,606,294,179,31,28,47,27
2019-01-06,2050,1308,742,448,150,27,34,38,45
2019-01-07,903,537,366,105,173,25,17,18,28
2019-01-08,1200,666,534,244,152,28,10,30,70
2019-01-09,0,0,0,0,0,0,0,0,0
2019-01-10,1394,791,603,230,247,18,11,48,49
2019-01-11,647,353,294,101,98,11,11,22,51
2019-01-12,1591,1102,489,292,90,15,23,23,46
2019-01-13,3108,2065,1043,701,163,36,29,75,39
2019-01-14,2485,1630,855,506,196,16,25,81,31
2019-01-15,974,548,426,162,161,8,17,38,40
2019-01-16,1169,613,556,290,173,1,8,26,58
2019-01-17,511,409,102,48,18,0,2,11,23
2019-01-18,615,474,141,65,44,6,2,10,14
2019-01-19,1711,1170,541,296,104,40,23,31,47
2019-01-20,1905,1300,605,368,127,16,21,22,51
2019-01-21,774,628,146,78,27,6,6,11,18
2019-01-22,689,556,133,75,12,3,6,25,12
2019-01-23,0,0,0,0,0,0,0,0,0
2019-01-24,1275,1082,193,111,38,5,2,6,31
2019-01-25,1582,723,859,768,12,0,2,4,73
2019-01-26,1671,1115,556,295,159,12,20,33,37
2019-01-27,2506,1702,804,475,177,26,19,56,51
2019-01-28,722,531,191,123,33,4,8,9,14
2019-01-29,904,608,296,206,52,4,4,8,22
2019-01-30,783,616,167,87,18,5,10,33,14
2019-01-31,558,445,113,61,24,1,3,9,15
