日付,A:総入園者数,B:有料入園者数,C:無料入園者数,D:Cのうち幼児,E:Cのうち小学生,F:Cのうち中学生,G:Cのうち障がい者,H:Cのうち市内６５歳以上,I:CのうちD〜H以外
2018-10-01,928,600,328,151,78,1,25,25,48
2018-10-02,1909,1011,898,652,50,10,14,50,122
2018-10-03,2899,948,1951,863,661,13,31,91,292
2018-10-04,3774,1646,2128,1206,320,10,39,221,332
2018-10-05,4766,1753,3013,1248,1261,12,31,191,270
2018-10-06,3159,1822,1337,710,287,20,48,123,149
2018-10-07,1518,1047,471,242,128,19,23,17,42
2018-10-08,7435,4229,3206,1904,747,56,94,293,112
2018-10-09,2483,1274,1209,683,209,8,43,133,133
2018-10-10,0,0,0,0,0,0,0,0,0
2018-10-11,1702,818,884,475,100,41,24,64,180
2018-10-12,1777,715,1062,733,87,18,12,69,143
2018-10-13,5408,3116,2292,1267,572,78,65,176,134
2018-10-14,6000,3462,2538,1649,460,70,67,168,124
2018-10-15,2343,1332,1011,487,237,5,29,153,100
2018-10-16,1422,761,661,379,49,11,19,85,118
2018-10-17,2194,992,1202,525,397,17,18,98,147
2018-10-18,1306,670,636,250,106,17,54,119,90
2018-10-19,2566,1400,1166,758,42,30,37,137,162
2018-10-20,5128,2925,2203,1228,540,31,85,194,125
2018-10-21,8062,4613,3449,2189,628,54,122,245,211
2018-10-22,2415,1378,1037,589,142,1,63,175,67
2018-10-23,1824,1256,568,307,45,2,36,127,51
2018-10-24,0,0,0,0,0,0,0,0,0
2018-10-25,1907,1288,619,304,36,11,35,173,60
2018-10-26,2136,1135,1001,570,87,24,56,161,103
2018-10-27,836,588,248,104,43,7,25,8,61
2018-10-28,2901,1876,1025,552,209,22,62,73,107
2018-10-29,899,613,286,152,59,4,5,45,21
2018-10-30,873,573,300,145,24,53,10,18,50
2018-10-31,351,226,125,62,19,0,2,14,28
